Date/time,Sample,Details,soilmass_g,BulkDensity,soil_pctC,temperature,CO2(ppmv)
2/25/19 10:14,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,9211
2/25/19 10:15,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,12645.5
2/25/19 10:16,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,4449.1
3/1/19 14:59,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,2491.4
3/1/19 15:00,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,6976.5
3/1/19 15:01,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,8018.2
3/1/19 15:04,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,6371.9
3/1/19 15:05,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,17012.1
3/1/19 15:06,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,4381
3/1/19 15:07,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,12081.7
3/1/19 15:09,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,10521.4
3/1/19 15:10,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,7749.9
3/1/19 15:11,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,11654.1
3/1/19 15:12,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,12009
3/1/19 15:13,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,4663
3/1/19 15:14,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,14329.6
3/1/19 15:15,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,21815.9
3/1/19 15:16,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,10190.6
3/4/19 16:28,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,2726.5
3/4/19 16:28,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,5360.6
3/4/19 16:29,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,5663.6
