Site,Trt,Canopy,Depth,Plot,run_date,PctN,PctC
CampColton,Add,Can,0-5,6,190627,0.40718785,5.170037194
CampColton,Add,Can,0-5,6,190627,0.454369305,5.906795399
CampColton,Add,Can,10-May,4,190402,0.308824721,4.444216666
CampColton,Add,Can,10-May,11,190627,0.357726619,4.620190092
CampColton,Add,Can,10-May,6,190820,0.442584435,6.034456371
CampColton,Add,Can,10-May,9,190820,0.332228183,4.364065671
CampColton,Add,IC,0-5,9,190402,0.340702155,5.050458117
CampColton,Add,IC,0-5,6,190627,0.394896882,5.163524205
CampColton,Add,IC,0-5,11,190627,0.384786571,5.359284744
CampColton,Add,IC,10-May,6,190422,0.316313145,4.203093486
CampColton,Add,IC,10-May,9,190402,0.301676448,4.190464386
CampColton,Add,IC,10-May,4,190426,0.318010067,3.88559001
CampColton,Add,IC,10-May,11,190627,0.342561151,4.777177378
CampColton,Exl,Can,0-5,2,190422,0.37878868,4.67942826
CampColton,Exl,Can,0-5,10,190402,0.396149572,5.70038402
CampColton,Exl,Can,0-5,8,190402,0.316552584,4.29724463
CampColton,Exl,Can,0-5,8,190627,0.3212502,4.337417477
CampColton,Exl,Can,0-5,10,190627,0.417793765,5.134671323
CampColton,Exl,Can,10-May,10,190422,0.335990479,4.554537849
CampColton,Exl,Can,10-May,5,190402,0.32408725,4.524481963
CampColton,Exl,Can,10-May,8,190627,0.28041247,3.751886962
CampColton,Exl,Can,10-May,2,190820,0.34066037,4.589767566
CampColton,Exl,IC,0-5,10,190422,0.407812748,5.425960548
CampColton,Exl,IC,0-5,8,190627,0.367539568,4.705347382
CampColton,Exl,IC,0-5,2,190820,0.318736683,4.138528622
CampColton,Exl,IC,10-May,5,190627,0.301921663,3.999999469
CampColton,Exl,IC,10-May,8,190820,0.334652437,4.316833196
CampColton,Exl,IC,10-May,2,190820,0.389672459,4.863502335
CampColton,Exl,IC,10-May,10,190820,0.347933132,4.577533463
CampColton,Ctrl,Can,0-5,3,190402,0.36465853,4.874602568
CampColton,Ctrl,Can,0-5,7,190402,0.334906258,4.828533021
CampColton,Ctrl,Can,0-5,7,190627,0.354852118,4.669108883
CampColton,Ctrl,Can,0-5,3,190627,0.39033733,5.104708876
CampColton,Ctrl,Can,0-5,12,190627,0.433355715,5.354646547
CampColton,Ctrl,Can,10-May,7,190402,0.307858738,4.346438018
CampColton,Ctrl,Can,10-May,12,190627,0.345435651,4.635286585
CampColton,Ctrl,Can,10-May,1,190820,0.34919796,4.941638418
CampColton,Ctrl,Can,10-May,3,190820,0.243,2.5696
CampColton,Ctrl,IC,0-5,12,190422,0.342188839,4.542097812
CampColton,Ctrl,IC,0-5,3,190402,0.393927811,5.345874209
CampColton,Ctrl,IC,0-5,1,190709,0.427168614,5.618992515
CampColton,Ctrl,IC,10-May,3,190402,0.312205661,4.434686094
CampColton,Ctrl,IC,10-May,7,190402,0.276271098,3.8009471
